idEstado,estado,idMunicipio,municipio,ciudad,zona,cp,asentamiento,tipo
2,"Baja California",2,Mexicali,NULL,Rural,21910,Yucatán,Ejido
7,Chiapas,11,"Bella Vista",NULL,Rural,30135,"Nuevo Yucatán",Barrio
5,"Coahuila de Zaragoza",9,"Francisco I. Madero",NULL,Rural,27926,Yucatán,Ejido
5,"Coahuila de Zaragoza",18,Monclova,NULL,Rural,25851,"Salitrillos (Yucatán)",Ranchería
12,Guerrero,53,"San Marcos",NULL,Rural,39963,"Yucatán de las Flores",Pueblo
19,"Nuevo León",21,"General Escobedo","Ciudad General Escobedo",Urbano,66084,"Alianza Real Sector Yucatán",Colonia
23,"Quintana Roo",4,"Othón P. Blanco",NULL,Urbano,77960,Yucatán,Colonia
26,Sonora,29,Guaymas,"Heroica Guaymas",Urbano,85406,Yucatán,Colonia
28,Tamaulipas,21,"El Mante","Ciudad Mante",Urbano,89867,Yucatán,Colonia
28,Tamaulipas,21,"El Mante","Ciudad Mante",Urbano,89884,"Carolina Yucatán Dos",Colonia
30,"Veracruz de Ignacio de la Llave",102,"Martínez de la Torre",NULL,Urbano,93607,Yucatán,Colonia
30,"Veracruz de Ignacio de la Llave",181,Tlalixcoyan,NULL,Rural,95224,Yucatán,Ranchería
31,Yucatán,1,Abalá,NULL,Rural,97825,Abala,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97825,Mukuiche,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97825,Uayalceh,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97826,Cacao,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97826,Peba,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97826,Sinhuchen,Pueblo
31,Yucatán,1,Abalá,NULL,Rural,97827,"Temozon Sur",Pueblo
31,Yucatán,2,Acanceh,NULL,Rural,97380,Acanceh,Pueblo
31,Yucatán,2,Acanceh,NULL,Rural,97380,Canicab,Hacienda
31,Yucatán,2,Acanceh,NULL,Urbano,97380,"El Zapotal",Colonia
31,Yucatán,2,Acanceh,NULL,Rural,97380,Santiago,Colonia
31,Yucatán,2,Acanceh,NULL,Rural,97380,Ticopó,Hacienda
31,Yucatán,2,Acanceh,NULL,Rural,97382,"Tepich Carrillo",Hacienda
31,Yucatán,2,Acanceh,NULL,Rural,97383,Cibceh,Rancho
31,Yucatán,2,Acanceh,NULL,Rural,97383,Petectunich,Pueblo
31,Yucatán,2,Acanceh,NULL,Rural,97383,Sacchich,Pueblo
31,Yucatán,2,Acanceh,NULL,Rural,97383,Sahcatzin,Pueblo
31,Yucatán,3,Akil,NULL,Urbano,97990,"Akil Centro",Colonia
31,Yucatán,3,Akil,NULL,Rural,97993,Kuncheil,Pueblo
31,Yucatán,4,Baca,NULL,Rural,97450,Baca,Pueblo
31,Yucatán,4,Baca,NULL,Rural,97452,Kankabchen,Pueblo
31,Yucatán,4,Baca,NULL,Rural,97452,Tixkuncheil,Pueblo
31,Yucatán,4,Baca,NULL,Rural,97453,"San Isidro Kuxub",Pueblo
31,Yucatán,4,Baca,NULL,Rural,97453,"San Nicolás",Pueblo
31,Yucatán,5,Bokobá,NULL,Rural,97466,Bokoba,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97620,Buctzotz,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97623,Chanmotul,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97623,Ixnail,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97623,Xbec,Ranchería
31,Yucatán,6,Buctzotz,NULL,Rural,97624,"La Gran Lucha",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97624,Nohyaxche,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97624,Saknicte,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,"B. Esperanza",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,"Chac Pot",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,Chuntzalan,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,"Grano de Oro",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,Muldzonot,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,"San Francisco",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97625,"U. Juárez",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97626,"San Juan",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97626,"San Pedro",Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97627,Hubineh,Pueblo
31,Yucatán,6,Buctzotz,NULL,Rural,97627,"Santo Domingo",Pueblo
31,Yucatán,7,Cacalchén,NULL,Rural,97460,Cacalchen,Pueblo
31,Yucatán,7,Cacalchén,NULL,Urbano,97460,"Santa Teresa",Colonia
31,Yucatán,8,Calotmul,NULL,Rural,97745,Calotmul,Ranchería
31,Yucatán,8,Calotmul,NULL,Rural,97746,Tahcabo,Ranchería
31,Yucatán,8,Calotmul,NULL,Rural,97747,Pocoboch,Ranchería
31,Yucatán,8,Calotmul,NULL,Rural,97747,"Santa Adelaida",Pueblo
31,Yucatán,8,Calotmul,NULL,Rural,97748,"Tekom Cenote",Pueblo
31,Yucatán,8,Calotmul,NULL,Rural,97748,"U.A. Xluch",Ranchería
31,Yucatán,8,Calotmul,NULL,Rural,97748,Yokdzonot,Pueblo
31,Yucatán,9,Cansahcab,NULL,Rural,97410,Cansahcab,Villa
31,Yucatán,9,Cansahcab,NULL,Rural,97414,"Santa María",Pueblo
31,Yucatán,9,Cansahcab,NULL,Rural,97415,"Kankabchen de Molina",Pueblo
31,Yucatán,9,Cansahcab,NULL,Rural,97415,Xiat,Pueblo
31,Yucatán,9,Cansahcab,NULL,Rural,97416,Ekbalam,Pueblo
31,Yucatán,9,Cansahcab,NULL,Rural,97417,"San Antonio",Pueblo
31,Yucatán,10,Cantamayec,NULL,Rural,97915,Cantamayec,Pueblo
31,Yucatán,10,Cantamayec,NULL,Rural,97917,Nenela,Pueblo
31,Yucatán,10,Cantamayec,NULL,Rural,97918,Cholul,Pueblo
31,Yucatán,11,Celestún,NULL,Rural,97367,Celestun,Pueblo
31,Yucatán,11,Celestún,NULL,Rural,97367,"El Palmar",Pueblo
31,Yucatán,11,Celestún,NULL,Rural,97367,Xixin,Pueblo
31,Yucatán,11,Celestún,NULL,Rural,97368,Sinkehuel,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97640,Cenotillo,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97643,Chuyucu,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97643,Flamboyanes,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97643,Itzimna,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97644,Obchen,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97644,"Xal Xaan",Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Afil,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Dzitox,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,"E. Tixbacab",Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Hunmuch,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Lobos,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Lusik,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Pom,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Tixbacab,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Tucina,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Xhualtez,Pueblo
31,Yucatán,12,Cenotillo,NULL,Rural,97645,Xmaakaba,Pueblo
31,Yucatán,16,Chacsinkín,NULL,Rural,97955,Chacsinkin,Pueblo
31,Yucatán,16,Chacsinkín,NULL,Rural,97956,Xohuayan,Pueblo
31,Yucatán,16,Chacsinkín,NULL,Rural,97957,Xbox,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Chankom,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Nicte-Ha,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Pambá,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,"San Isidro",Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,"San Juan",Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Ticimul,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Tzukmuc,Ranchería
31,Yucatán,17,Chankom,NULL,Rural,97758,X-Bohom,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,X-Cocail,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Xcabchen,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Xcatun,Pueblo
31,Yucatán,17,Chankom,NULL,Rural,97758,Xcopteil,Pueblo
