place_id,nombre,lat,lng,direccion,tipos,match_denue,nombre_denue,razon_denue,actividad_denue,colonia_denue,fuzzy_score,distancia_m,es_informal,decision_fuente,opus_confianza,opus_razon,colonia_geo,cp_geo,tipo_colonia
places/ChIJM-6fFUptVo8RG0z3nTH6qFg,Rancho la Flor,20.853289399999998,-89.6695787,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJE36TB-BsVo8RrUO7JfU5r9c,Procon Planta Ticimul,20.854356,-89.68156599999999,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJj2-fpgJtVo8ROvc8n53Y_HM,31DPR0847C PRIMARIA LAZARO CARDENAS DEL RIO,20.8553289,-89.6714125,,"primary_school,school,educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJI9ULeABtVo8RevFE83erdA4,Campo de béisbol Dzununcán,20.8628389,-89.6532594,,"sports_club,association_or_organization,point_of_interest,establishment",False,YUC SIX LA ESCONDIDA,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,42.307692307692314,119.9,True,opus,alta,"Campo de béisbol no es una tienda de cerveza (Six). Nombres y giros completamente distintos, 120m de distancia.",Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJKYNgyq5tVo8ReBRdNeuo5yc,"Quinta ""Mis Cuatro Amores""",20.8624319,-89.6579549,,"storage,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJd9RvxI5tVo8RvAi0gSCy4k4,Hacienda San Miguel,20.8605531,-89.67916919999999,,"event_venue,point_of_interest,service,establishment",False,PLANTA DE AGREGADOS TICIMUL,PRODUCTOS DE CONCRETO PENINSULARES SA DE CV,Minería de arena y grava para la construcción,UMAN,45.16129032258065,106.7,True,opus,alta,"Hacienda San Miguel es un sitio histórico/turístico, no una planta de agregados/minería. Nombres y giros distintos.",Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJp_mgZBdtVo8RlUbxV_kZgPY,TALLER EL TAPATIO,20.8569952,-89.6564484,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJdVxZLTVtVo8R0f3oiXono1Y,Hacienda La Aventura,20.859222199999998,-89.6609412,,"point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
places/ChIJUUfTmsRtVo8RZ2ZsHqMdcpQ,La chingada,20.854694,-89.65651129999999,,"housing_complex,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Dzununcán / Dzununcan / Hunxectamán (+12 más),97315,
places/ChIJ89o7XwBtVo8R55kwxx5kQSI,Taller Gompar,20.8578261,-89.66423239999999,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,,Petecbiltun / Tebec / Ticimul (+1 más),97394,
