place_id,nombre,lat,lng,direccion,tipos,match_denue,nombre_denue,razon_denue,actividad_denue,colonia_denue,fuzzy_score,distancia_m,es_informal,decision_fuente,cadena_detectada,razon_decision,fuente
csv_6,Casa Reyna,20.8688759,-89.75027349999999,"C. 35C 135, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,service,establishment",False,ESTETICA MARY,,Salones y clínicas de belleza y peluquerías,MANZANA 002,58.8,89.5,True,informal,,Sin match en ninguna capa,google_maps
csv_9,Pochoclo Cooking,20.8705017,-89.7503265,"97390 Bosques de, Umán, 97390 Umán, Yuc., Mexico","store,point_of_interest,establishment",False,MOTOSERVICIO B&G,,Reparación y mantenimiento de motocicletas,MANZANA 002,40.0,65.5,True,informal,,Sin match en ninguna capa,google_maps
csv_10,YULINEY(Deliciosas fresas)🍓😍,20.8714549,-89.7515755,"C. 33 B 162, entre 22 y 24, Umán, 97390 Umán, Yuc., Mexico","ice_cream_shop,dessert_shop,confectionery,point_of_interest,food_store,food,store,establishment",False,TALLER DE TAPICERIA SIN NOMBRE,,Reparación de tapicería de muebles para el hogar,MANZANA 0066,44.9,57.2,True,informal,,Sin match en ninguna capa,google_maps
csv_11,BBG Comunicación,20.8712167,-89.7501542,"Esquina con 33-B, por 33B1 y 33B2, C. 35 S/N, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,establishment",False,MOTOSERVICIO B&G,,Reparación y mantenimiento de motocicletas,MANZANA 002,50.0,61.8,True,informal,,Sin match en ninguna capa,google_maps
csv_14,MONKEY FILMS,20.871466,-89.7514885,"C. 33 B 160, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,service,establishment",False,HERRERIA AUTOMOTRIZ SIN NOMBRE,,Reparación mecánica en general de automóviles y camiones,MANZANA 0066,33.3,67.4,True,informal,,Sin match en ninguna capa,google_maps
csv_17,Frutería LA MEJOR,20.8694057,-89.7512046,"C. 35D 151, Umán, 97390 Umán, Yuc., Mexico","butcher_shop,point_of_interest,service,food_store,food,manufacturer,store,establishment",False,ESTETICA MARY,,Salones y clínicas de belleza y peluquerías,MANZANA 002,58.3,98.0,True,informal,,Sin match en ninguna capa,google_maps
csv_18,STUDIO ANDROMEDA,20.8711799,-89.750878,"Itzincab, 97390 Umán, Yuc., Mexico","point_of_interest,establishment",False,YUX SIX EL TREBOL (UMAN),CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,UMAN,45.2,76.1,True,informal,,Sin match en ninguna capa,google_maps
csv_20,GIOTEX Sustainable Textiles,20.8693492,-89.7470671,"Calle 18 No 163 Carretera Uman-uxmal, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,manufacturer,establishment",False,TERMO PUERTAS DEL SURESTE,TERMO PUERTAS DEL SURESTE SA DE CV,Fabricación de productos de herrería,MANZANA 30,43.8,83.8,True,informal,,Sin match en ninguna capa,google_maps
csv_22,AYAMSA Aceros y Acanalados Monterrey,20.8699389,-89.74621830000001,"Calle 18, Uxmal 163-Int. 2, Umán, 97390 Umán, Yuc., Mexico","corporate_office,point_of_interest,establishment",False,TERMO PUERTAS DEL SURESTE,TERMO PUERTAS DEL SURESTE SA DE CV,Fabricación de productos de herrería,MANZANA 30,42.9,30.7,True,informal,,Sin match en ninguna capa,google_maps
csv_29,asmaY,20.869761000000004,-89.74635889999999,"Calle 18, Uxmal 163-Int. 2, Umán, 97390 Umán, Yuc., Mexico","manufacturer,point_of_interest,establishment",False,TERMO PUERTAS DEL SURESTE,TERMO PUERTAS DEL SURESTE SA DE CV,Fabricación de productos de herrería,MANZANA 30,40.0,21.7,True,informal,,Sin match en ninguna capa,google_maps
csv_30,Rewear,20.8694248,-89.7466949,"Calle 18 No 163 Int. 2 Carretera Uman - Uxmal, Umán, 97390 Umán, Yuc., Mexico","clothing_store,wholesaler,point_of_interest,manufacturer,store,establishment",False,TERMO PUERTAS DEL SURESTE,TERMO PUERTAS DEL SURESTE SA DE CV,Fabricación de productos de herrería,MANZANA 30,54.5,55.7,True,informal,,Sin match en ninguna capa,google_maps
csv_31,Gina S’ Nails,20.8716707,-89.74932109999999,"C. 35 A, Camino Real Privada, 97390 Umán, Yuc., Mexico","beauty_salon,point_of_interest,service,store,establishment",False,GIOTEX,GIOTEX SA DE CV,Preparación e hilado de fibras blandas naturales,UMAN,50.0,33.6,True,informal,,Sin match en ninguna capa,google_maps
csv_33,Gatos hidráulicos,20.8706228,-89.74444779999999,"C. 16 184, Umán, 97390 Umán, Yuc., Mexico","car_repair,point_of_interest,service,establishment",False,TALLER AUTOMOTRIZ SIN NOMBRE,,Reparación mecánica en general de automóviles y camiones,MANZANA 29,35.7,16.9,True,informal,,Sin match en ninguna capa,google_maps
csv_34,Ronin Sushi Umán,20.8723167,-89.74413799999999,"C. 21 87a, Umán, 97390 Umán, Yuc., Mexico","grocery_store,point_of_interest,food_store,food,store,establishment",False,FRUTERIA SIN NOMBRE,,Comercio al por menor de frutas y verduras frescas,MANZANA 17,46.7,82.4,True,informal,,Sin match en ninguna capa,google_maps
csv_37,Carpinteria Gabriel Tinal,20.8683861,-89.7430965,"97390, C. 16 580, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,service,manufacturer,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_38,AUTOSERVICIO CONZALEZ,20.8706571,-89.7435096,"C. 14 1365, Umán, 97390 Umán, Yuc., Mexico","grocery_store,point_of_interest,food_store,food,store,establishment",False,EL SENDAVITO,,"Bares, cantinas y similares",MANZANA 29,55.6,78.5,True,informal,,Sin match en ninguna capa,google_maps
csv_41,EL SAZÓN DE LAS HERMANAS,20.8722709,-89.743997,"33, x 14 y 16, Santa barbara, 97390 Umán, Yuc., Mexico","meal_takeaway,restaurant,point_of_interest,food,establishment",False,VENTA DE EMPANADAS SIN NOMBRE,,Restaurantes con servicio de preparación de antojitos,MANZANA 18,57.1,4.9,True,informal,,Sin match en ninguna capa,google_maps
csv_46,HIELERIA LOS ANGELITOS,20.8722415,-89.7426269,"Umán, 97390 Uman, Yucatan, Mexico","point_of_interest,supplier,manufacturer,establishment",False,TAQUERIA EL OLAN,,Restaurantes con servicio de preparación de tacos y tortas,MANZANA 17,58.3,61.3,True,informal,,Sin match en ninguna capa,google_maps
csv_50,Servicio Técnico GONZALÉZ.,20.8701853,-89.7399604,"C. 10 382, entre 33 y 35, Umán, 97390 Umán, Yuc., Mexico","wholesaler,point_of_interest,establishment",False,TENDEJON JOSE,,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas",SAN FELIPE 2,46.2,45.3,True,informal,,Sin match en ninguna capa,google_maps
csv_52,BARBER SHARK,20.8708243,-89.74000029999999,"C. 10 313, Umán, 97390 Umán, Yuc., Mexico","barber_shop,hair_care,health,point_of_interest,service,establishment",False,CARPINTERIA MARTIN,,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",SAN FELIPE 2,46.7,95.0,True,informal,,Sin match en ninguna capa,google_maps
csv_59,Bolsas son viejito,20.870752,-89.73858899999999,"V7C6+4V, Umán, 97390 Umán, Yuc., Mexico","market,point_of_interest,establishment",False,SALA DE FIESTA SAN FELIPE,,Alquiler sin intermediación de salones para fiestas y convenciones,SAN FELIPE 2,50.0,17.4,True,informal,,Sin match en ninguna capa,google_maps
csv_60,Six Marinos,20.8708565,-89.7375565,"C. 35 82, Umán, 97390 Umán, Yuc., Mexico","liquor_store,point_of_interest,store,establishment",False,PANADERIA SAN CARLOS,,Panificación tradicional,SAN FELIPE 2,57.1,65.0,True,informal,,Sin match en ninguna capa,google_maps
csv_61,C.H technology,20.8711354,-89.7389802,"33 10 8, Umán, 97390 Umán, Yuc., Mexico","point_of_interest,establishment",False,PANADERIA SAN CARLOS,,Panificación tradicional,SAN FELIPE 2,40.0,86.4,True,informal,,Sin match en ninguna capa,google_maps
csv_63,WOODSERVICES,20.8710372,-89.73712230000001,"0 4, Umán, 97390 Umán, Yuc., Mexico","general_contractor,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_65,Bolsas uman,20.8707367,-89.7385022,"V7C6+4V, Umán, 97390 Umán, Yuc., Mexico","gift_shop,point_of_interest,store,establishment",False,CAPILLA SAN JUDAS TADEO,ARQUIDIOCESIS DE YUCATAN AR,Asociaciones y organizaciones religiosas,SAN FELIPE 2,54.5,70.4,True,informal,,Sin match en ninguna capa,google_maps
csv_66,"Bolsas artesanales ""los abuelitos""",20.870529,-89.73872170000001,"V7C6+4V, Umán, 97390 Uman, Yucatan, Mexico","point_of_interest,establishment",False,PANADERIA SAN CARLOS,,Panificación tradicional,SAN FELIPE 2,55.6,72.6,True,informal,,Sin match en ninguna capa,google_maps
csv_67,Expendio Aurora,20.8698946,-89.7369952,"Calle 4 & Calle 35 A, Umán, 97390 Umán, Yuc., Mexico","wholesaler,point_of_interest,establishment",False,SUBLITEX ARTICULOS PERSONALIZADOS SUBLIMACION,,Impresión de formas continuas y otros impresos,SAN FELIPE 2,40.0,14.1,True,informal,,Sin match en ninguna capa,google_maps
csv_68,Kitin-Che,20.8715036,-89.7364707,"C. 35 x 2 y 4, Umán, 97390 Umán, Yuc., Mexico","amusement_center,point_of_interest,establishment",False,CARPINTERIA SIN NOMBRE,,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería",SAN FELIPE 2,44.4,76.2,True,informal,,Sin match en ninguna capa,google_maps
csv_72,claribel quintal,20.8719067,-89.73697779999999,"C. 4, Umán, 97390 Umán, Yuc., Mexico","beauty_salon,service,point_of_interest,establishment",False,LOCAL DE FIESTAS SIN NOMBRE,,Alquiler sin intermediación de salones para fiestas y convenciones,SAN FELIPE 2,50.0,23.0,True,informal,,Sin match en ninguna capa,google_maps
csv_77,ENCIERRO ILCO CONSTRUCTORES,20.8703729,-89.7325718,"Unnamed Road, Umán, 97390 Umán, Yuc., Mexico","corporate_office,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_79,Encierro - Grupo Canteras Peninsulares,20.8705138,-89.73264979999999,"Umán, 97390 Umán, Yuc., Mexico","storage,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_80,La cima del mayauman,20.8684375,-89.73056249999999,"V799+9Q, 97390 Uman, Yucatan, Mexico","hiking_area,sports_activity_location,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_81,TSURU,20.8714585,-89.7264766,"97390 Uman, Yucatan, Mexico","car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_82,Autotransporte y Taller Saeta,20.870822900000004,-89.7246267,"Carretera Uman Tebec, 51 Z2, 97394 Umán, Yuc., Mexico","car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_83,TRANSPORTES MENDOZA,20.8703172,-89.72397769999999,"Merida-Uman, Centro, 97390 Mérida, Yuc., Mexico","transportation_service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_84,NGC TALLERES ( CHEYENE),20.8686755,-89.7222398,"Unnamed Road Carretera Uman-tebec a 100 mts antes de puente, 97390 Umán, Yuc., Mexico","car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_86,JJ Forza Semirremolques (Yucatán),20.868167,-89.7223337,"C. 21, Umán, 97394 Umán, Yuc., Mexico","point_of_interest,manufacturer,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_90,Consultorio Dental,20.8684307,-89.66110619999999,"C. 19, 97315 Dzununcán, Yuc., Mexico","health,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_91,Bendito sabor burguer,20.868352,-89.6607033,"C. 19 24, 97315 Dzununcán, Yuc., Mexico","hamburger_restaurant,american_restaurant,restaurant,point_of_interest,food,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_92,Prettylash,20.8680795,-89.6600897,"97390 Comisaría dzununcan, 97390 Mérida, Yuc., Mexico","beauty_salon,service,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_93,Mosaicos Dzununcan Fabrica,20.8708457,-89.65426629999999,"Calle 86, Km 2.5 entre periférico Sur y Dzununcan Sin Nombre, 97315 Mérida, Yuc., Mexico","building_materials_store,point_of_interest,store,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_94,Materiales Pineda,20.8706926,-89.65464229999999,"V8CW+74, 97315 Dzununcán, Yuc., Mexico","building_materials_store,point_of_interest,store,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_96,Llantera MC,20.8712951,-89.65460859999999,"C. 86, 97315 San Antonio, Yuc., Mexico","car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_97,Vivero periférico,20.8716732,-89.6544916,"C. 86, 97315 San Antonio, Yuc., Mexico","point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_98,ACERUNION DZUNUNCAN,20.8725356,-89.6540441,"97315 Merida, Yucatan, Mexico","wholesaler,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_100,Martillos Hidráulicos de la Península MHP,20.8683002,-89.6505176,"C. 19, 97315 Dzununcán, Yuc., Mexico","car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_103,Local los Dorantes,20.8701097,-89.6414594,"97315 Merida, Yucatan, Mexico","swimming_pool,sports_activity_location,point_of_interest,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_104,Vivero los narcisos,20.8706805,-89.6264333,"Calle 233 A x 50 y 50A Xmatkuil, 97285 Mérida, Yuc., Mexico","farm,point_of_interest,wholesaler,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_105,Casa Fernanda,20.8687858,-89.6273392,"V99F+G3, 97315 Xmatkuil, Yuc., Mexico","lodging,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_106,Tarimera Vázquez,20.8716962,-89.6270217,"Calle 50 ixmatkuil, entre 233, 97315 Mérida, Yuc., Mexico","point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
csv_108,Grupo Armar (bodega),20.869667,-89.625526,"C. 50, Plan de Ayala ÌII, 97315 Xmatkuil, Yuc., Mexico","winery,farm,point_of_interest,service,food,manufacturer,establishment",False,,,,,0.0,9999.0,True,informal,,Sin match en ninguna capa,google_maps
