place_id,nombre,lat,lng,direccion,tipos,match_denue,nombre_denue,razon_denue,actividad_denue,colonia_denue,fuzzy_score,distancia_m,es_informal,decision_fuente,opus_confianza,opus_razon
places/ChIJM-6fFUptVo8RG0z3nTH6qFg,Rancho la Flor,20.853289399999998,-89.6695787,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJE36TB-BsVo8RrUO7JfU5r9c,Procon Planta Ticimul,20.854356,-89.68156599999999,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJj2-fpgJtVo8ROvc8n53Y_HM,31DPR0847C PRIMARIA LAZARO CARDENAS DEL RIO,20.8553289,-89.6714125,,"primary_school,school,educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJI9ULeABtVo8RevFE83erdA4,Campo de béisbol Dzununcán,20.8628389,-89.6532594,,"sports_club,association_or_organization,point_of_interest,establishment",False,YUC SIX LA ESCONDIDA,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,42.307692307692314,119.9,True,opus,alta,"Campo de béisbol no es una tienda de cerveza (Six). Nombres y giros completamente distintos, 120m de distancia."
places/ChIJKYNgyq5tVo8ReBRdNeuo5yc,"Quinta ""Mis Cuatro Amores""",20.8624319,-89.6579549,,"storage,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJd9RvxI5tVo8RvAi0gSCy4k4,Hacienda San Miguel,20.8605531,-89.67916919999999,,"event_venue,point_of_interest,service,establishment",False,PLANTA DE AGREGADOS TICIMUL,PRODUCTOS DE CONCRETO PENINSULARES SA DE CV,Minería de arena y grava para la construcción,UMAN,45.16129032258065,106.7,True,opus,alta,"Hacienda San Miguel es un sitio histórico/turístico, no una planta de agregados/minería. Nombres y giros distintos."
places/ChIJp_mgZBdtVo8RlUbxV_kZgPY,TALLER EL TAPATIO,20.8569952,-89.6564484,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJJeMsHq1tVo8RF19ZoI1GQB8,Farmacias Similares,20.8645846,-89.65561269999999,,"pharmacy,store,point_of_interest,health,establishment",True,FARMACIA SIMILARES DZUNUNCAN,RENA COMERCIALIZADORA SA DE CV,Farmacias sin minisúper,DZUNUNCAN,97.2972972972973,4.0,False,fuzzy_directo,,
places/ChIJqTCiGfNtVo8RAkmuS0RQONY,Aquafarm Geotanques de México,20.8665304,-89.6613205,,"farm,point_of_interest,service,establishment",True,AQUAFARM GEOTANQUES DE MEXICO,,Piscicultura en agua dulce,DZUNUNCAN,96.55172413793103,63.7,False,fuzzy_directo,,
places/ChIJdVxZLTVtVo8R0f3oiXono1Y,Hacienda La Aventura,20.859222199999998,-89.6609412,,"point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJUUfTmsRtVo8RZ2ZsHqMdcpQ,La chingada,20.854694,-89.65651129999999,,"housing_complex,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ89o7XwBtVo8R55kwxx5kQSI,Taller Gompar,20.8578261,-89.66423239999999,,"point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJv8mYJABtVo8Rgpkxkl6Txd0,Xcucul hacienda,20.8641339,-89.65694340000002,,"ranch,farm,point_of_interest,service,establishment",False,FARMACIA SIMILARES DZUNUNCAN,RENA COMERCIALIZADORA SA DE CV,Farmacias sin minisúper,DZUNUNCAN,40.0,149.9,True,opus,alta,"Xcucul hacienda es un sitio histórico, no una farmacia. 150m de distancia y giros incompatibles."
places/ChIJ5UUfZABtVo8RcyybxG97Kig,Jamybo,20.859055899999998,-89.6627082,,"garden,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJd7bnmwhtVo8RlmA-VOCgNtk,ALMED CARPINTERIA,20.854573,-89.6712239,,"manufacturer,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJedC3EedtVo8R82lfXZW4KyU,Chatarreria LA BODEGA,20.8641875,-89.6586875,,"point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ6xeMylRtVo8RfWBEcd8MsMk,Taller KONE,20.8596565,-89.6708926,,"car_repair,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJORrh4rFtVo8R4FlHrlMKHIM,SIX .La Escondida,20.8617569,-89.6533309,,"liquor_store,store,point_of_interest,establishment",True,YUC SIX LA ESCONDIDA,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,96.96969696969697,0.9,False,fuzzy_directo,,
places/ChIJn65Qqa9tVo8R3KbyvFbuTqM,Cocina Toñita,20.864330499999998,-89.6553383,,"restaurant,food,point_of_interest,establishment",False,FARMACIA SIMILARES DZUNUNCAN,RENA COMERCIALIZADORA SA DE CV,Farmacias sin minisúper,DZUNUNCAN,53.84615384615385,36.4,True,opus,alta,"Cocina Toñita es un negocio de comida, Farmacia Similares es farmacia. Giros completamente distintos."
places/ChIJM9n4iNhtVo8R3v4F2fD8zdw,Taqueria Nivoros,20.8327824,-89.6602592,,"restaurant,food,point_of_interest,establishment",True,PIZZERIA Y TACOS AL PASTOR NIVORO S,,Restaurantes con servicio de preparación de tacos y tortas,SAN JOSE TZAL,71.42857142857143,12.2,False,opus,alta,"Taqueria Nivoros coincide con Pizzeria y Tacos Nivoro's. Mismo nombre, mismo giro (tacos), solo 12m de distancia."
places/ChIJie_UbNFtVo8R0oLPvflKGiM,Seminario Bautista Piedra Angular,20.86234,-89.631479,,"educational_institution,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJ8xcKKg1tVo8RGQoLIbwyQvc,Fragranzhub,20.8649746,-89.65148820000002,,"cosmetics_store,clothing_store,store,point_of_interest,establishment",False,SIX BODEGUITA DE DZUNUNCAN,CONTROLADORA DE NEGOCIOS COMERCIALES SA DE CV,Comercio al por menor de cerveza,DZUNUNCAN,36.36363636363637,116.6,True,opus,alta,"Fragranzhub (perfumería/fragancias) no es Six (cervecería). Nombres y giros distintos, 117m."
places/ChIJeRtkkoltVo8R2JlpLwrX9Sw,Quinta: Villa Romina,20.860045,-89.64277039999999,,"event_venue,point_of_interest,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
places/ChIJiwFeWVFtVo8RCHc9Lf790wQ,Vivero Lol Pak'al,20.862670299999998,-89.64676779999999,,"garden_center,store,point_of_interest,service,establishment",False,,,,,0.0,9999.0,True,sin_candidatos,,
